horizon_days,target,repetition,model_id,architecture,wall_seconds,batch_size,resource,gpu_count,supporting_cpu_cores,slurm_job_id,target_date
7,ET,146,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1999734416604042,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,147,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19973434042185545,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,148,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20128050539642572,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,149,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.2014153441414237,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,150,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20196057297289371,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,151,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20161769352853298,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,152,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19062270689755678,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,153,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1923107523471117,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,154,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19291680864989758,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,155,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19121014699339867,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,156,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19835678208619356,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,157,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1983442073687911,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,158,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19885066151618958,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,159,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19829138554632664,1,NVIDIA A40,1,8,6499038,2020-07-01
